TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.220;0.450;0.600;0.800;1.030;1.170;1.200;1.230;1.320;1.420;1.520;1.520;1.510;1.430;1.280;1.130;0.980;0.910;0.830;0.760;0.640;0.480;0.310;0.150;0.110;0.080;0.040;0.000;0.000;0.000
10;0.000;0.440;0.890;1.200;1.590;2.070;2.340;2.390;2.450;2.650;2.840;3.040;3.030;3.020;2.870;2.570;2.270;1.970;1.820;1.670;1.520;1.280;0.950;0.630;0.300;0.230;0.150;0.080;0.000;0.000;0.000
15;0.000;0.670;1.340;1.800;2.390;3.100;3.500;3.590;3.680;3.970;4.270;4.560;4.550;4.530;4.300;3.850;3.400;2.950;2.720;2.500;2.280;1.920;1.430;0.940;0.460;0.340;0.230;0.110;0.000;0.000;0.000
20;0.000;0.890;1.780;2.400;3.180;4.140;4.670;4.790;4.910;5.300;5.690;6.080;6.060;6.050;5.740;5.130;4.530;3.930;3.630;3.330;3.030;2.560;1.910;1.260;0.610;0.460;0.300;0.150;0.000;0.000;0.000
25;0.000;1.110;2.230;3.000;3.980;5.170;5.840;5.990;6.140;6.620;7.110;7.600;7.580;7.560;7.170;6.420;5.670;4.920;4.540;4.170;3.790;3.200;2.390;1.570;0.760;0.570;0.380;0.190;0.000;0.000;0.000
30;0.000;1.330;2.670;3.600;4.780;6.200;7.010;7.180;7.360;7.950;8.530;9.120;9.090;9.070;8.600;7.700;6.800;5.900;5.450;5.000;4.550;3.840;2.860;1.890;0.910;0.680;0.460;0.230;0.000;0.000;0.000
35;0.000;1.550;3.120;4.200;5.570;7.240;8.170;8.380;8.590;9.270;9.960;10.640;10.610;10.580;10.040;8.990;7.930;6.880;6.360;5.830;5.310;4.480;3.340;2.200;1.060;0.800;0.530;0.270;0.000;0.000;0.000
40;0.000;1.770;3.560;4.800;6.370;8.270;9.340;9.580;9.820;10.600;11.380;12.160;12.130;12.090;11.470;10.270;9.070;7.860;7.270;6.670;6.070;5.120;3.820;2.520;1.220;0.910;0.610;0.300;0.000;0.000;0.000
45;0.000;2.000;4.010;5.400;7.160;9.310;10.510;10.780;11.040;11.920;12.800;13.680;13.640;13.600;12.910;11.550;10.200;8.850;8.170;7.500;6.830;5.760;4.290;2.830;1.370;1.030;0.680;0.340;0.000;0.000;0.000
50;0.000;2.220;4.450;6.000;7.960;10.340;11.680;11.970;12.270;13.250;14.220;15.200;15.160;15.110;14.340;12.840;11.330;9.830;9.080;8.330;7.580;6.400;4.770;3.150;1.520;1.140;0.760;0.380;0.000;0.000;0.000
