TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.220;0.440;0.620;0.770;0.910;0.950;0.980;1.010;1.020;1.030;1.030;1.040;1.000;0.930;0.860;0.780;0.710;0.640;0.560;0.480;0.390;0.290;0.190;0.100;0.000;0.000;0.000;0.000;0.000;0.000
10;0.000;0.440;0.890;1.250;1.530;1.810;1.880;1.950;2.000;2.030;2.050;2.060;2.070;2.010;1.860;1.710;1.560;1.410;1.270;1.120;0.950;0.780;0.580;0.390;0.200;0.000;0.000;0.000;0.000;0.000;0.000
15;0.000;0.660;1.330;1.870;2.300;2.720;2.830;2.940;3.010;3.040;3.080;3.100;3.110;3.010;2.790;2.570;2.350;2.130;1.900;1.680;1.420;1.170;0.880;0.580;0.290;0.000;0.000;0.000;0.000;0.000;0.000
20;0.000;0.890;1.780;2.500;3.060;3.620;3.760;3.910;4.000;4.050;4.100;4.120;4.140;4.000;3.710;3.420;3.130;2.840;2.540;2.250;1.910;1.560;1.170;0.780;0.390;0.000;0.000;0.000;0.000;0.000;0.000
25;0.000;1.110;2.220;3.120;3.830;4.530;4.710;4.890;5.010;5.070;5.130;5.150;5.180;5.010;4.640;4.280;3.910;3.540;3.170;2.810;2.380;1.950;1.460;0.980;0.490;0.000;0.000;0.000;0.000;0.000;0.000
30;0.000;1.330;2.660;3.750;4.590;5.430;5.650;5.870;6.010;6.080;6.150;6.180;6.210;6.010;5.570;5.130;4.690;4.250;3.810;3.370;2.850;2.340;1.750;1.170;0.580;0.000;0.000;0.000;0.000;0.000;0.000
35;0.000;1.550;3.100;4.350;5.300;6.240;6.460;6.670;6.810;6.870;6.930;6.940;6.950;6.780;6.420;6.060;5.700;5.340;4.970;4.610;4.000;3.400;2.550;1.700;0.850;0.000;0.000;0.000;0.000;0.000;0.000
40;0.000;1.750;3.540;4.940;5.970;7.000;7.140;7.210;7.570;7.830;8.150;8.380;8.410;8.270;7.980;7.680;7.260;6.840;6.440;6.050;5.210;4.380;3.290;2.190;1.090;0.000;0.000;0.000;0.000;0.000;0.000
45;0.000;2.060;4.150;5.730;6.800;7.870;8.230;8.270;8.330;8.790;9.370;9.820;9.860;9.770;9.540;9.300;8.820;8.330;7.910;7.480;6.840;6.200;4.520;2.850;1.430;0.000;0.000;0.000;0.000;0.000;0.000
50;0.000;2.210;4.450;6.250;7.290;8.330;8.760;8.970;9.090;9.750;10.590;11.260;11.320;11.260;11.090;10.920;10.380;9.830;9.380;8.920;7.780;6.640;4.840;3.040;1.520;0.000;0.000;0.000;0.000;0.000;0.000
55;0.000;2.360;4.770;6.780;7.780;8.790;9.300;9.670;9.820;10.570;11.170;11.890;11.960;11.980;11.960;11.930;11.480;11.030;10.680;10.330;9.080;7.830;5.720;3.610;1.800;0.000;0.000;0.000;0.000;0.000;0.000
60;0.000;2.520;5.290;7.300;8.280;9.250;9.830;10.370;10.280;11.090;11.750;12.540;12.620;12.660;12.670;12.690;12.240;11.790;11.460;11.120;9.790;8.470;6.180;3.890;1.950;0.000;0.000;0.000;0.000;0.000;0.000
65;0.000;2.560;5.370;7.390;8.660;9.640;10.000;10.620;11.120;12.010;12.730;13.380;13.470;13.530;13.570;13.610;13.010;12.410;12.090;11.770;10.380;8.990;6.560;4.130;2.060;0.000;0.000;0.000;0.000;0.000;0.000
70;0.000;2.670;5.390;7.400;8.630;10.050;10.500;11.200;11.970;12.920;13.710;14.210;14.320;14.400;14.470;14.530;14.060;13.580;12.950;12.320;10.850;9.390;6.840;4.300;2.150;0.000;0.000;0.000;0.000;0.000;0.000
75;0.000;2.730;5.470;7.500;8.740;10.170;11.020;11.970;12.840;13.870;14.490;15.050;15.190;15.300;15.390;15.480;15.120;14.760;13.930;13.100;11.540;9.990;7.290;4.580;2.290;0.000;0.000;0.000;0.000;0.000;0.000
80;0.000;2.780;5.560;7.620;8.880;10.310;11.250;12.540;13.510;14.640;15.320;15.970;16.150;16.270;16.320;16.380;15.960;15.540;14.510;13.470;11.870;10.260;7.510;4.760;2.450;0.140;0.120;0.090;0.060;0.030;0.030
85;0.000;2.750;5.500;7.680;8.980;10.450;11.430;12.720;14.060;15.340;16.150;16.880;17.120;17.260;17.300;17.340;16.860;16.390;15.040;13.690;12.120;10.550;7.880;5.220;3.030;0.850;0.680;0.510;0.340;0.170;0.170
