TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.090;0.180;0.290;0.420;0.470;0.490;0.520;0.520;0.520;0.530;0.530;0.540;0.540;0.540;0.540;0.530;0.540;0.540;0.540;0.550;0.550;0.550;0.560;0.560;0.560;0.560;0.560;0.560;0.560;0.560
10;0.000;0.180;0.370;0.590;0.840;0.960;1.010;1.040;1.070;1.090;1.100;1.110;1.120;1.130;1.140;1.130;1.130;1.140;1.160;1.170;1.190;1.200;1.210;1.220;1.230;1.240;1.240;1.240;1.240;1.240;1.240
15;0.000;0.280;0.570;0.880;1.300;1.480;1.560;1.610;1.660;1.690;1.710;1.730;1.750;1.760;1.760;1.770;1.790;1.820;1.860;1.890;1.920;1.950;1.980;2.000;2.030;2.050;2.050;2.050;2.050;2.050;2.050
20;0.000;0.370;0.800;1.210;1.780;2.020;2.130;2.210;2.280;2.320;2.360;2.400;2.440;2.470;2.500;2.510;2.510;2.570;2.630;2.690;2.740;2.790;2.850;2.890;2.930;2.970;2.970;2.970;2.970;2.970;2.970
25;0.000;0.490;1.000;1.610;2.330;2.650;2.780;2.900;3.000;3.050;3.110;3.170;3.230;3.270;3.320;3.340;3.360;3.450;3.550;3.630;3.720;3.800;3.880;3.950;4.010;4.080;4.080;4.080;4.080;4.080;4.080
30;0.000;0.620;1.300;1.980;2.930;3.320;3.490;3.650;3.770;3.840;3.920;4.000;4.080;4.150;4.220;4.260;4.290;4.420;4.560;4.680;4.800;4.920;5.040;5.140;5.230;5.330;5.330;5.330;5.330;5.330;5.330
35;0.000;0.760;1.570;2.450;3.580;4.120;4.320;4.530;4.670;4.770;4.870;5.020;5.170;5.230;5.280;5.330;5.390;5.570;5.750;5.920;6.080;6.240;6.400;6.540;6.670;6.790;6.790;6.790;6.790;6.790;6.790
40;0.000;0.910;1.930;3.020;4.360;4.990;5.310;5.570;5.750;5.870;5.990;6.180;6.370;6.450;6.530;6.600;6.680;6.920;7.160;7.370;7.590;7.800;8.010;8.190;8.360;8.520;8.520;8.520;8.520;8.520;8.520
45;0.000;1.120;2.330;3.650;5.300;6.130;6.400;6.810;7.030;7.170;7.310;7.500;7.690;7.850;8.000;8.100;8.200;8.500;8.810;9.080;9.360;9.620;9.880;10.120;10.330;10.530;10.530;10.530;10.530;10.530;10.530
50;0.000;1.210;2.550;3.910;5.700;6.440;6.720;7.160;7.380;7.540;7.690;7.950;8.210;8.380;8.560;8.720;8.890;9.230;9.560;9.870;10.170;10.470;10.760;11.020;11.250;11.480;11.480;11.480;11.480;11.480;11.480
55;0.000;1.310;2.700;4.170;6.000;6.750;7.040;7.400;7.740;7.910;8.070;8.350;8.630;8.820;9.010;9.200;9.380;9.750;10.120;10.460;10.790;11.110;11.440;11.720;11.980;12.230;12.230;12.230;12.230;12.230;12.230
60;0.000;1.350;2.770;4.420;6.300;6.970;7.270;7.750;8.000;8.230;8.450;8.750;9.050;9.260;9.470;9.670;9.870;10.270;10.680;11.040;11.410;11.760;12.110;12.430;12.700;12.980;12.980;12.980;12.980;12.980;12.980
65;0.000;1.400;2.920;4.590;6.400;7.080;7.490;7.990;8.260;8.500;8.730;9.050;9.380;9.650;9.920;10.140;10.360;10.800;11.230;11.630;12.030;12.410;12.790;13.130;13.430;13.720;13.720;13.720;13.720;13.720;13.720
70;0.000;1.450;3.000;4.670;6.500;7.190;7.710;8.140;8.520;8.760;9.010;9.400;9.800;10.090;10.380;10.610;10.850;11.320;11.790;12.220;12.640;13.050;13.460;13.830;14.150;14.470;14.470;14.470;14.470;14.470;14.470
75;0.000;1.490;3.000;4.760;6.600;7.310;7.830;8.390;8.680;8.980;9.290;9.700;10.120;10.480;10.830;11.090;11.340;11.840;12.350;12.800;13.260;13.700;14.140;14.530;14.880;15.220;15.220;15.220;15.220;15.220;15.220
80;0.000;1.490;3.080;4.840;6.700;7.520;7.960;8.630;8.940;9.250;9.570;10.000;10.440;10.810;11.190;11.510;11.830;12.360;12.900;13.390;13.880;14.350;14.820;15.230;15.600;15.970;15.970;15.970;15.970;15.970;15.970
85;0.000;1.540;3.080;4.930;6.800;7.640;8.080;8.780;9.290;9.620;9.950;10.400;10.860;11.200;11.540;11.930;12.320;12.890;13.460;13.980;14.500;14.990;15.490;15.940;16.330;16.720;16.720;16.720;16.720;16.720;16.720
90;0.000;1.540;3.150;5.010;6.800;7.650;8.300;8.920;9.450;9.790;10.130;10.710;11.280;11.640;12.000;12.350;12.700;13.310;13.920;14.460;15.010;15.540;16.070;16.540;16.950;17.360;17.360;17.360;17.360;17.360;17.360
95;0.000;1.540;3.150;5.010;6.800;7.760;8.420;9.070;9.610;9.960;10.310;10.910;11.500;11.980;12.460;12.820;13.190;13.830;14.470;15.050;15.630;16.190;16.740;17.240;17.680;18.110;18.110;18.110;18.110;18.110;18.110
