TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.150;0.300;0.450;0.600;0.750;0.790;0.830;0.770;0.810;0.850;0.790;0.830;0.770;0.810;0.850;0.860;0.870;0.800;0.660;0.520;0.420;0.330;0.230;0.110;0.000;0.000;0.000;0.000;0.000;0.000
10;0.000;0.300;0.600;0.900;1.200;1.500;1.580;1.660;1.540;1.620;1.700;1.580;1.660;1.540;1.620;1.700;1.720;1.740;1.610;1.320;1.030;0.850;0.660;0.450;0.230;0.000;0.000;0.000;0.000;0.000;0.000
15;0.000;0.450;0.900;1.350;1.800;2.250;2.370;2.490;2.310;2.430;2.550;2.370;2.490;2.310;2.430;2.550;2.580;2.610;2.410;1.980;1.550;1.270;0.990;0.680;0.340;0.000;0.000;0.000;0.000;0.000;0.000
20;0.000;0.600;1.200;1.800;2.400;3.000;3.160;3.320;3.080;3.240;3.400;3.160;3.320;3.080;3.240;3.400;3.440;3.480;3.210;2.640;2.070;1.690;1.320;0.910;0.450;0.000;0.000;0.000;0.000;0.000;0.000
25;0.000;0.750;1.500;2.250;3.000;3.750;3.950;4.150;3.850;4.050;4.250;3.950;4.150;3.850;4.050;4.250;4.300;4.350;4.020;3.300;2.580;2.120;1.650;1.130;0.570;0.000;0.000;0.000;0.000;0.000;0.000
30;0.000;0.900;1.800;2.700;3.600;4.500;4.740;4.980;4.620;4.860;5.100;4.740;4.980;4.620;4.860;5.100;5.160;5.220;4.820;3.960;3.100;2.540;1.980;1.360;0.680;0.000;0.000;0.000;0.000;0.000;0.000
35;0.000;1.140;2.280;3.350;4.350;5.350;5.610;5.870;5.480;5.740;6.000;5.610;5.870;5.480;5.740;6.000;6.060;6.120;5.820;5.160;4.500;4.100;3.700;2.800;1.400;0.000;0.000;0.000;0.000;0.000;0.000
40;0.000;1.320;2.640;3.800;4.800;5.800;6.120;6.440;5.960;6.280;6.600;6.120;6.440;5.960;6.280;6.600;6.680;6.760;6.600;6.200;5.800;5.640;5.480;4.320;2.160;0.000;0.000;0.000;0.000;0.000;0.000
45;0.000;1.480;2.960;4.200;5.200;6.200;6.520;6.840;6.360;6.680;7.000;6.520;6.840;6.360;6.680;7.000;7.080;7.160;7.160;7.080;7.000;6.880;6.760;5.360;2.680;0.000;0.000;0.000;0.000;0.000;0.000
50;0.000;1.600;3.200;4.500;5.500;6.500;6.820;7.140;6.660;6.980;7.300;6.820;7.140;6.660;6.980;7.300;7.400;7.500;7.600;7.700;7.800;7.720;7.640;6.080;3.040;0.000;0.000;0.000;0.000;0.000;0.000
55;0.000;1.720;3.440;4.790;5.770;6.750;7.100;7.450;6.930;7.280;7.630;7.100;7.450;6.930;7.280;7.630;7.720;7.810;7.980;8.240;8.500;8.440;8.380;6.680;3.340;0.000;0.000;0.000;0.000;0.000;0.000
60;0.000;1.800;3.600;4.990;5.970;6.950;7.310;7.670;7.130;7.490;7.850;7.310;7.670;7.130;7.490;7.850;7.950;8.050;8.300;8.700;9.100;9.060;9.020;7.200;3.600;0.000;0.000;0.000;0.000;0.000;0.000
65;0.000;1.880;3.760;5.180;6.140;7.100;7.480;7.860;7.290;7.670;8.050;7.480;7.860;7.290;7.670;8.050;8.150;8.250;8.550;9.050;9.550;9.530;9.510;7.600;3.800;0.000;0.000;0.000;0.000;0.000;0.000
70;0.000;1.920;3.840;5.290;6.270;7.250;7.650;8.050;7.450;7.850;8.250;7.650;8.050;7.450;7.850;8.250;8.370;8.490;8.820;9.360;9.900;9.900;9.900;7.920;3.960;0.000;0.000;0.000;0.000;0.000;0.000
