TWA\TWS;0;5;10;15;20;25;30;35;40
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5;0.00;-0.31;-0.63;-0.94;-1.26;-1.57;-1.89;-2.20;-2.51
10;0.00;-0.30;-0.59;-0.89;-1.18;-1.48;-1.77;-2.07;-2.36
15;0.00;-0.28;-0.55;-0.83;-1.10;-1.38;-1.66;-1.93;-2.21
20;0.00;-0.26;-0.51;-0.77;-1.03;-1.29;-1.54;-1.80;-2.06
25;0.00;-0.24;-0.48;-0.71;-0.95;-1.19;-1.43;-1.67;-1.90
30;0.00;-0.22;-0.44;-0.66;-0.88;-1.10;-1.31;-1.53;-1.75
35;0.00;-0.20;-0.40;-0.60;-0.80;-1.00;-1.20;-1.40;-1.60
40;0.00;0.93;1.86;1.96;1.83;1.13;0.48;-0.08;-1.07
45;0.00;2.06;4.12;4.52;4.45;3.26;2.16;1.24;-0.53
50;0.00;3.19;6.38;7.08;7.08;5.39;3.84;2.55;0.00
55;0.00;3.51;7.01;7.79;7.79;5.92;4.22;2.82;0.00
60;0.00;3.83;7.65;8.50;8.50;6.46;4.60;3.07;0.00
65;0.00;4.09;8.18;9.07;9.21;7.00;5.12;3.58;0.00
70;0.00;4.35;8.70;9.63;9.92;7.53;5.62;4.09;0.00
75;0.00;4.61;9.22;10.20;10.62;8.07;6.14;4.60;0.00
80;0.00;4.87;9.75;10.77;11.33;8.62;6.65;5.12;0.00
85;0.00;5.13;10.27;11.33;12.04;9.15;7.16;5.62;0.00
90;0.00;5.40;10.79;11.90;12.75;9.69;7.67;6.14;0.00
95;0.00;5.36;10.72;12.11;12.86;9.89;7.86;6.33;0.00
100;0.00;5.33;10.64;12.33;12.97;10.18;8.20;6.64;0.00
105;0.00;5.29;10.57;12.54;13.07;10.47;8.53;6.95;0.00
110;0.00;5.25;10.50;12.75;13.18;10.75;8.86;7.26;0.00
115;0.00;5.21;10.42;12.96;13.28;11.04;9.20;7.57;0.00
120;0.00;5.18;10.35;13.18;13.39;11.33;9.53;7.88;0.00
125;0.00;5.14;10.27;13.39;13.49;11.61;9.87;8.19;0.00
130;0.00;5.10;10.20;13.60;13.60;11.90;10.20;8.50;0.00
135;0.00;4.89;9.78;13.60;13.60;12.32;10.20;8.07;0.00
140;0.00;4.67;9.35;13.60;13.60;12.75;10.20;7.90;0.00
145;0.00;4.36;8.71;12.65;12.96;12.22;9.89;7.73;0.00
150;0.00;4.04;8.07;11.69;12.32;11.69;9.56;7.56;0.00
155;0.00;3.72;7.44;10.74;11.69;11.16;9.25;7.39;0.00
160;0.00;3.40;6.80;9.78;11.05;10.62;8.93;7.22;0.00
165;0.00;3.09;6.16;8.82;10.41;10.10;8.61;7.12;0.00
170;0.00;2.76;5.53;7.86;9.78;9.56;8.29;7.01;0.00
175;0.00;2.45;4.89;6.91;9.14;9.04;7.97;6.91;0.00
180;0.00;2.24;4.48;6.29;8.73;8.70;7.76;6.84;0.00
