TWA\TWS;0;5;10;15;20;25;30;35;40;45;50;55;60
0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0.2946;0.9689;1.185;1.192;1.257;1.201;1.177;1.053;0.8825;0.754;0.5782;0.4522
10;0;0.7017;2.016;2.23;2.357;2.335;2.347;2.33;2.022;1.681;1.39;1.198;1.01
15;0;1.099;2.983;3.355;3.535;3.513;3.528;3.461;3.033;2.523;2.084;1.762;1.472
20;0;1.497;3.934;4.537;4.723;4.764;4.729;4.619;4.076;3.398;2.83;2.327;1.911
25;0;1.952;4.932;5.715;5.912;6.008;5.923;5.815;5.12;4.273;3.579;2.927;2.392
30;0;2.505;5.975;6.854;7.096;7.202;7.101;7.018;6.149;5.127;4.294;3.548;2.916
35;0;3.161;7.007;7.951;8.27;8.347;8.265;8.188;7.162;5.96;4.974;4.157;3.442
40;0;3.887;7.953;9.015;9.426;9.465;9.415;9.292;8.16;6.788;5.638;4.734;3.935
45;0;4.628;8.756;10.05;10.55;10.57;10.55;10.32;9.14;7.622;6.315;5.284;4.385
50;0;5.322;9.388;11.05;11.62;11.66;11.66;11.27;10.09;8.469;7.029;5.831;4.815
55;0;5.921;9.86;12;12.64;12.73;12.72;12.17;11;9.321;7.788;6.411;5.265
60;0;6.393;10.2;12.87;13.57;13.75;13.75;13.03;11.86;10.16;8.585;7.051;5.775
65;0;6.735;10.47;13.65;14.44;14.71;14.74;13.87;12.65;10.99;9.405;7.763;6.372
70;0;6.964;10.7;14.34;15.25;15.61;15.7;14.69;13.41;11.78;10.23;8.539;7.061
75;0;7.113;10.93;14.96;16.01;16.46;16.64;15.5;14.14;12.54;11.06;9.358;7.833
80;0;7.219;11.16;15.52;16.74;17.28;17.6;16.3;14.88;13.29;11.88;10.2;8.666
85;0;7.312;11.41;16.06;17.46;18.11;18.57;17.1;15.67;14.06;12.72;11.05;9.545
90;0;7.41;11.65;16.58;18.19;18.97;19.56;17.92;16.53;14.87;13.6;11.92;10.46
95;0;7.514;11.86;17.11;18.93;19.86;20.57;18.77;17.47;15.76;14.54;12.82;11.44
100;0;7.606;12.03;17.62;19.66;20.76;21.55;19.67;18.49;16.74;15.57;13.79;12.48
105;0;7.659;12.13;18.09;20.35;21.65;22.48;20.61;19.53;17.79;16.67;14.83;13.6
110;0;7.637;12.18;18.47;20.96;22.45;23.31;21.59;20.54;18.88;17.81;15.97;14.81
115;0;7.511;12.15;18.72;21.45;23.1;24.01;22.53;21.46;19.94;18.92;17.15;16.05
120;0;7.264;12.06;18.79;21.77;23.53;24.52;23.35;22.2;20.89;19.91;18.3;17.26
125;0;6.896;11.89;18.65;21.87;23.7;24.82;23.95;22.69;21.63;20.68;19.31;18.31
130;0;6.426;11.63;18.28;21.73;23.57;24.88;24.23;22.88;22.08;21.15;20.06;19.09
135;0;5.888;11.27;17.69;21.33;23.14;24.66;24.08;22.75;22.17;21.24;20.44;19.48
140;0;5.324;10.79;16.91;20.66;22.45;24.15;23.5;22.3;21.9;20.96;20.38;19.44
145;0;4.773;10.17;15.97;19.74;21.54;23.32;22.51;21.56;21.28;20.33;19.92;18.98
150;0;4.263;9.425;14.91;18.63;20.46;22.17;21.25;20.59;20.38;19.45;19.15;18.21
155;0;3.806;8.604;13.77;17.36;19.25;20.75;19.86;19.47;19.29;18.42;18.19;17.29
160;0;3.398;7.772;12.59;16.03;17.96;19.16;18.5;18.26;18.11;17.33;17.16;16.33
165;0;3.03;7.009;11.4;14.7;16.62;17.58;17.25;17.04;16.87;16.22;16.08;15.35
170;0;2.696;6.369;10.26;13.47;15.29;16.21;16.06;15.87;15.62;15.05;14.85;14.24
175;0;2.393;5.819;9.206;12.34;14.05;15.12;14.85;14.8;14.38;13.86;13.46;12.95
180;0;2.07;5.171;8.208;11.22;12.97;13.8;13.83;13.82;13.4;12.98;12.55;12.12
