TWA\TWS;0;5;10;15;20;25;30;35;40;45;50;55;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.610;1.140;1.410;1.570;1.570;1.180;0.380;0.000;0.000;0.000;0.000;0.000
10;0.000;1.220;2.290;2.820;3.140;3.140;2.350;0.750;0.000;0.000;0.000;0.000;0.000
15;0.000;1.840;3.440;4.240;4.700;4.720;3.530;1.130;0.000;0.000;0.000;0.000;0.000
20;0.000;2.440;4.580;5.650;6.270;6.290;4.700;1.500;0.000;0.000;0.000;0.000;0.000
25;0.000;3.050;5.740;7.080;7.860;7.890;5.900;1.880;0.000;0.000;0.000;0.000;0.000
30;0.000;3.640;6.880;8.510;9.490;9.540;7.220;2.590;0.390;0.210;0.080;0.020;0.000
35;0.000;4.080;7.700;9.590;10.820;10.950;8.600;4.190;1.940;1.050;0.390;0.080;0.000
40;0.000;4.470;8.420;10.540;12.040;12.290;10.030;6.090;3.880;2.100;0.770;0.160;0.000
45;0.000;4.860;9.160;11.650;13.490;13.850;11.640;8.110;5.920;3.200;1.170;0.240;0.000
50;0.000;5.200;9.790;12.550;14.730;15.200;13.040;9.870;7.680;4.200;1.590;0.350;0.000
55;0.000;5.400;10.140;13.130;15.750;16.350;14.180;10.990;8.680;5.000;2.130;0.550;0.000
60;0.000;5.550;10.410;13.570;16.520;17.240;15.060;11.780;9.340;5.660;2.680;0.800;0.000
65;0.000;5.690;10.670;14.030;17.250;18.350;16.170;12.740;10.140;6.420;3.280;1.050;0.000
70;0.000;5.840;10.930;14.480;17.970;19.270;17.140;13.590;10.870;7.140;3.860;1.300;0.000
75;0.000;5.990;11.190;14.920;18.700;20.170;18.180;14.550;11.670;7.910;4.480;1.560;0.000
80;0.000;6.130;11.450;15.370;19.420;21.030;19.090;15.380;12.370;8.610;5.060;1.800;0.000
85;0.000;6.170;11.500;15.570;19.900;21.680;19.890;16.360;13.270;9.460;5.770;2.300;0.260
90;0.000;6.200;11.570;15.790;20.380;22.330;20.640;17.190;14.070;10.230;6.430;2.790;0.530
95;0.000;6.240;11.630;15.990;20.860;22.980;21.420;18.070;15.060;11.190;7.250;3.360;0.820
100;0.000;6.270;11.690;16.200;21.330;23.670;22.410;19.300;16.330;12.580;8.450;4.190;1.240
105;0.000;6.310;11.750;16.410;21.810;24.360;23.430;20.600;17.660;14.030;9.720;5.060;1.680
110;0.000;6.340;11.810;16.610;22.290;25.040;24.460;21.910;18.990;15.490;11.000;5.940;2.130
115;0.000;6.370;11.860;16.810;22.770;25.730;25.490;23.200;20.320;16.950;12.280;6.820;2.570
120;0.000;6.410;11.920;17.020;23.240;26.430;26.520;24.510;21.650;18.410;13.550;7.700;3.020
125;0.000;6.440;11.980;17.230;23.720;27.150;27.550;25.810;22.980;19.870;14.820;8.570;3.460
130;0.000;6.430;11.960;17.330;24.110;27.890;28.600;27.110;24.310;21.330;16.100;9.450;3.910
135;0.000;6.270;11.710;17.160;24.200;28.300;29.560;28.410;25.640;22.780;17.370;10.330;4.350
140;0.000;6.050;11.390;16.890;24.200;28.600;30.500;29.710;26.970;24.250;18.650;11.210;4.800
145;0.000;5.700;10.770;16.040;23.240;28.700;31.350;30.890;28.160;25.550;19.780;11.980;5.190
150;0.000;5.360;10.170;15.170;22.220;28.380;31.730;31.480;28.720;26.090;20.230;12.260;5.330
155;0.000;5.030;9.580;14.320;20.990;27.280;31.570;31.670;29.000;26.420;20.500;12.430;5.390
160;0.000;4.730;9.000;13.460;19.690;25.710;30.020;30.590;28.600;26.500;20.660;12.520;5.390
165;0.000;4.410;8.430;12.590;18.390;24.070;28.170;29.230;28.050;26.520;20.790;12.590;5.380
170;0.000;4.100;7.860;11.730;17.090;22.430;26.330;27.870;27.510;26.540;20.930;12.660;5.360
175;0.000;3.800;7.300;10.900;15.840;20.830;24.500;26.520;26.960;26.570;21.060;12.740;5.340
180;0.000;3.630;6.980;10.420;15.130;19.900;23.330;25.640;26.600;26.580;21.150;12.790;5.330
