TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.800;1.600;1.920;1.760;1.600;1.440;1.280;1.200;1.200;1.200;1.200;1.200;1.200;1.200;1.200;1.200;1.200;1.200;1.200;1.200;1.080;0.970;0.920;0.950;0.970;0.990;1.010;1.030;1.050;1.060
10;0.000;0.800;1.600;1.920;1.760;1.600;1.520;1.440;1.400;1.400;1.400;1.400;1.400;1.400;1.400;1.400;1.400;1.400;1.400;1.400;1.400;1.270;1.130;1.070;1.080;1.100;1.110;1.120;1.130;1.140;1.150
15;0.000;0.800;1.600;1.920;1.760;1.600;1.600;1.600;1.600;1.600;1.600;1.600;1.600;1.600;1.600;1.600;1.600;1.600;1.600;1.600;1.600;1.450;1.290;1.220;1.220;1.230;1.230;1.230;1.240;1.240;1.240
20;0.000;0.800;1.600;1.940;1.820;1.700;2.060;2.420;2.720;2.960;3.200;3.180;3.160;3.140;3.120;3.100;3.120;3.140;3.160;3.180;3.200;3.260;3.320;3.250;3.060;2.870;2.700;2.530;2.360;2.210;2.050
25;0.000;1.100;2.210;2.940;3.310;3.680;4.220;4.750;5.070;5.180;5.280;5.220;5.170;5.110;5.060;5.000;4.960;4.920;4.880;4.840;4.800;5.060;5.320;5.230;4.800;4.370;3.970;3.580;3.200;2.840;2.480
30;0.000;1.410;2.820;3.970;4.860;5.760;6.830;7.900;8.540;8.750;8.960;8.610;8.260;7.920;7.570;7.220;7.060;6.890;6.730;6.560;6.400;6.860;7.320;7.220;6.540;5.860;5.240;4.620;4.030;3.470;2.910
35;0.000;1.710;3.420;4.990;6.420;7.840;9.450;11.060;12.020;12.330;12.640;12.070;11.500;10.940;10.370;9.800;9.440;9.080;8.720;8.360;8.000;8.660;9.330;9.200;8.270;7.350;6.510;5.670;4.860;4.100;3.340
40;0.000;2.020;4.030;6.020;7.970;9.920;12.060;14.210;15.490;15.900;16.320;15.540;14.750;13.970;13.180;12.400;11.840;11.280;10.720;10.160;9.600;10.470;11.330;11.180;10.010;8.840;7.780;6.720;5.700;4.730;3.770
45;0.000;2.320;4.640;7.040;9.520;12.000;14.680;17.360;19.000;19.600;20.200;19.160;18.120;17.080;16.040;15.000;14.240;13.480;12.720;11.960;11.200;12.250;13.310;13.130;11.710;10.300;9.020;7.730;6.500;5.340;4.170
50;0.000;2.600;5.200;7.800;10.400;13.000;15.680;18.360;20.040;20.720;21.400;20.520;19.640;18.760;17.880;17.000;16.160;15.320;14.480;13.640;12.800;14.060;15.330;15.120;13.440;11.760;10.230;8.710;7.250;5.860;4.480
55;0.000;2.760;5.520;8.210;10.830;13.450;16.330;19.210;21.000;21.700;22.400;21.590;20.780;19.970;19.160;18.350;17.560;16.770;15.980;15.190;14.400;15.310;16.230;15.800;14.030;12.260;10.650;9.040;7.500;6.040;4.580
60;0.000;2.920;5.840;8.620;11.260;13.900;16.980;20.060;22.020;22.860;23.700;22.900;22.100;21.300;20.500;19.700;18.960;18.220;17.480;16.740;16.000;16.560;17.120;16.470;14.610;12.750;11.060;9.370;7.750;6.210;4.680
65;0.000;3.080;6.160;9.040;11.720;14.400;17.680;20.960;23.040;23.920;24.800;24.030;23.260;22.480;21.710;20.940;20.180;19.420;18.670;17.910;17.150;19.350;21.560;21.440;18.990;16.550;14.330;12.110;9.990;7.980;5.960
70;0.000;3.240;6.480;9.460;12.180;14.900;18.380;21.860;24.080;25.040;26.000;25.240;24.470;23.710;22.940;22.180;21.400;20.630;19.850;19.080;18.300;20.400;22.510;22.280;19.720;17.170;14.840;12.520;10.310;8.190;6.080
75;0.000;3.400;6.800;9.870;12.610;15.350;19.030;22.710;25.070;26.110;27.150;26.400;25.650;24.900;24.150;23.400;22.610;21.820;21.030;20.240;19.450;21.440;23.420;23.080;20.420;17.750;15.330;12.910;10.590;8.390;6.190
80;0.000;3.560;7.120;10.280;13.040;15.800;19.680;23.560;26.060;27.180;28.300;27.570;26.830;26.100;25.360;24.630;23.820;23.020;22.210;21.410;20.600;22.470;24.340;23.880;21.110;18.330;15.810;13.280;10.880;8.590;6.300
85;0.000;3.580;7.160;10.340;13.120;15.900;19.980;24.060;26.780;28.140;29.500;28.780;28.050;27.330;26.600;25.880;25.050;24.230;23.400;22.580;21.750;23.520;25.290;24.730;21.840;18.940;16.310;13.690;11.180;8.790;6.410
90;0.000;3.600;7.200;10.400;13.200;16.000;20.280;24.560;27.500;29.100;30.700;29.990;29.280;28.570;27.860;27.150;26.300;25.450;24.600;23.750;22.900;24.570;26.240;25.570;22.560;19.560;16.820;14.090;11.480;9.000;6.520
95;0.000;3.520;7.040;10.190;12.970;15.750;20.190;24.630;27.770;29.610;31.450;30.810;30.180;29.540;28.910;28.270;27.430;26.580;25.740;24.890;24.050;26.210;28.370;28.030;25.190;22.350;19.510;16.660;13.820;10.980;8.140
100;0.000;3.440;6.880;9.980;12.740;15.500;20.100;24.700;28.040;30.120;32.200;31.640;31.080;30.520;29.960;29.400;28.560;27.720;26.880;26.040;25.200;27.280;29.360;28.920;25.970;23.020;20.070;17.120;14.170;11.220;8.270
105;0.000;3.260;6.520;9.580;12.440;15.300;19.800;24.300;27.750;30.150;32.550;32.130;31.700;31.280;30.850;30.430;29.610;28.800;27.980;27.170;26.350;28.350;30.350;29.820;26.760;23.700;20.640;17.580;14.520;11.460;8.400
110;0.000;3.080;6.160;9.380;12.740;16.100;20.100;24.100;27.460;30.180;32.900;32.610;32.320;32.030;31.740;31.450;30.660;29.870;29.080;28.290;27.500;29.420;31.340;30.710;27.540;24.370;21.200;18.030;14.860;11.690;8.520
115;0.000;2.880;5.760;9.030;12.690;16.350;19.610;22.870;26.140;29.420;32.700;32.630;32.550;32.480;32.400;32.330;31.580;30.840;30.090;29.350;28.600;30.440;32.280;31.560;28.290;25.010;21.740;18.470;15.190;11.920;8.640
120;0.000;2.720;5.440;8.760;12.680;16.600;19.080;21.560;24.680;28.440;32.200;32.390;32.580;32.770;32.960;33.150;32.480;31.810;31.140;30.470;29.800;31.520;33.240;32.410;29.030;25.650;22.270;18.900;15.520;12.140;8.760
125;0.000;2.540;5.080;8.330;12.290;16.250;18.870;21.490;24.410;27.630;30.850;31.330;31.820;32.300;32.790;33.270;32.810;32.340;31.880;31.410;30.950;32.590;34.230;33.310;29.820;26.330;22.840;19.350;15.860;12.370;8.880
130;0.000;2.400;4.800;7.980;11.940;15.900;18.980;22.060;24.780;27.140;29.500;30.280;31.060;31.840;32.620;33.400;33.140;32.880;32.620;32.360;32.100;33.660;35.220;34.200;30.600;27.000;23.400;19.800;16.200;12.600;9.000
135;0.000;2.160;4.320;7.320;11.160;15.000;18.520;22.040;24.600;26.200;27.800;28.810;29.820;30.820;31.830;32.840;32.920;33.000;33.090;33.170;33.250;34.350;35.450;34.200;30.600;27.000;23.400;19.800;16.200;12.600;9.000
140;0.000;1.960;3.920;6.620;10.060;13.500;17.300;21.100;24.000;26.000;28.000;28.900;29.800;30.700;31.600;32.500;32.880;33.260;33.640;34.020;34.400;35.040;35.680;34.200;30.600;27.000;23.400;19.800;16.200;12.600;9.000
145;0.000;1.800;3.600;6.000;9.000;12.000;15.600;19.200;22.200;24.600;27.000;28.130;29.250;30.380;31.500;32.630;33.200;33.780;34.350;34.930;35.500;35.340;35.180;33.350;29.860;26.360;22.860;19.370;15.870;12.380;8.890
150;0.000;1.600;3.200;5.300;7.900;10.500;13.620;16.740;19.700;22.500;25.300;26.540;27.780;29.020;30.260;31.500;32.240;32.980;33.720;34.460;35.200;34.800;34.400;32.500;29.110;25.720;22.330;18.940;15.550;12.160;8.770
155;0.000;1.440;2.880;4.680;6.840;9.000;11.680;14.360;17.280;20.440;23.600;24.850;26.090;27.340;28.580;29.830;30.760;31.700;32.630;33.570;34.500;33.620;32.740;30.710;27.540;24.370;21.200;18.030;14.860;11.690;8.520
160;0.000;1.360;2.720;4.220;5.860;7.500;9.700;11.900;14.780;18.340;21.900;23.080;24.260;25.440;26.620;27.800;28.680;29.560;30.440;31.320;32.200;31.480;30.760;28.920;25.970;23.020;20.070;17.120;14.170;11.220;8.270
165;0.000;1.280;2.560;4.020;5.660;7.300;9.340;11.380;13.960;17.080;20.200;21.310;22.420;23.540;24.650;25.760;26.580;27.400;28.210;29.030;29.850;29.290;28.730;27.090;24.360;21.630;18.900;16.170;13.450;10.720;8.000
170;0.000;1.240;2.480;3.880;5.440;7.000;8.920;10.840;13.140;15.820;18.500;19.540;20.570;21.610;22.640;23.680;24.440;25.210;25.970;26.740;27.500;27.100;26.700;25.250;22.740;20.240;17.740;15.230;12.730;10.220;7.720
175;0.000;1.220;2.440;3.790;5.270;6.750;8.510;10.270;12.370;14.810;17.250;18.290;19.330;20.380;21.420;22.460;23.320;24.180;25.030;25.890;26.750;26.350;25.950;24.540;22.120;19.700;17.280;14.870;12.450;10.030;7.610
180;0.000;1.200;2.410;3.720;5.130;6.550;8.180;9.810;11.750;14.000;16.250;17.300;18.350;19.390;20.440;21.490;22.420;23.350;24.290;25.220;26.150;25.750;25.350;23.970;21.620;19.270;16.920;14.570;12.220;9.870;7.520
