TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.170;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330;0.330
10;0.000;0.330;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670;0.670
15;0.000;0.500;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
20;0.000;0.670;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330;1.330
25;0.000;0.830;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670;1.670
30;0.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000
35;0.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000
40;0.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000
45;0.000;2.150;4.300;6.950;9.400;12.050;14.750;16.750;17.350;17.800;17.650;17.900;18.000;17.900;17.700;17.400;16.800;16.200;15.600;15.250;15.250;15.250;15.250;15.250;15.250;15.250;15.250;15.250;15.250;15.250;15.250
50;0.000;2.350;4.700;7.600;10.400;13.400;16.300;18.100;18.800;19.300;19.100;19.500;19.700;19.700;19.400;19.200;18.800;18.400;18.000;17.800;17.800;17.800;17.800;17.800;17.800;17.800;17.800;17.800;17.800;17.800;17.800
55;0.000;2.580;5.150;8.100;11.250;14.600;17.500;19.200;20.200;20.750;20.600;21.100;21.400;21.450;21.200;20.900;20.650;20.450;20.200;20.050;20.050;20.050;20.050;20.050;20.050;20.050;20.050;20.050;20.050;20.050;20.050
60;0.000;2.800;5.600;8.700;12.000;15.700;18.600;20.100;21.700;22.100;22.100;22.700;23.000;23.100;22.800;22.400;22.400;22.400;22.300;22.300;22.300;22.300;22.300;22.300;22.300;22.300;22.300;22.300;22.300;22.300;22.300
65;0.000;2.920;5.850;9.150;12.650;16.550;19.500;21.200;22.700;23.200;23.200;23.850;24.250;24.450;24.150;23.900;23.900;23.900;23.950;23.950;23.950;23.950;23.950;23.950;23.950;23.950;23.950;23.950;23.950;23.950;23.950
70;0.000;3.100;6.200;9.600;13.300;17.400;20.500;22.300;23.600;24.200;24.300;25.000;25.500;25.700;25.500;25.300;25.400;25.500;25.600;25.600;25.600;25.600;25.600;25.600;25.600;25.600;25.600;25.600;25.600;25.600;25.600
75;0.000;3.170;6.350;9.850;13.650;17.850;21.100;23.050;24.450;25.050;25.300;26.000;26.550;26.850;26.750;26.750;26.750;26.750;26.700;26.700;26.700;26.700;26.700;26.700;26.700;26.700;26.700;26.700;26.700;26.700;26.700
80;0.000;3.300;6.600;10.100;14.000;18.300;21.700;23.800;25.300;25.900;26.300;27.000;27.600;28.000;28.000;28.100;28.000;28.000;27.900;27.800;27.800;27.800;27.800;27.800;27.800;27.800;27.800;27.800;27.800;27.800;27.800
85;0.000;3.300;6.600;10.200;14.150;18.450;21.800;24.650;25.850;26.600;27.150;27.850;28.350;28.800;29.100;29.350;29.100;28.750;28.450;28.300;28.300;28.300;28.300;28.300;28.300;28.300;28.300;28.300;28.300;28.300;28.300
90;0.000;3.350;6.700;10.300;14.300;18.500;21.900;25.400;26.400;27.300;28.000;28.600;29.200;29.700;30.100;30.600;30.100;29.600;29.000;28.700;28.700;28.700;28.700;28.700;28.700;28.700;28.700;28.700;28.700;28.700;28.700
95;0.000;3.300;6.600;10.200;14.150;18.250;22.600;25.750;26.900;27.950;28.650;29.350;29.800;30.000;30.800;31.600;30.700;29.850;29.000;28.550;28.550;28.550;28.550;28.550;28.550;28.550;28.550;28.550;28.550;28.550;28.550
100;0.000;3.250;6.500;10.100;14.000;18.000;23.300;26.000;27.300;28.600;29.200;30.000;30.400;30.300;31.400;32.500;31.300;30.100;28.900;28.300;28.300;28.300;28.300;28.300;28.300;28.300;28.300;28.300;28.300;28.300;28.300
105;0.000;3.300;6.600;10.100;13.300;18.100;22.350;25.950;27.550;28.850;29.800;30.550;31.150;31.500;32.200;32.900;33.000;33.050;33.150;33.150;33.150;33.150;33.150;33.150;33.150;33.150;33.150;33.150;33.150;33.150;33.150
110;0.000;3.300;6.600;10.100;12.600;18.200;21.400;25.900;27.800;29.100;30.300;31.100;31.900;32.700;33.000;33.300;34.600;36.000;37.300;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000
115;0.000;3.130;6.250;9.700;12.700;17.350;21.100;25.050;27.150;29.000;30.350;31.000;31.900;33.050;33.350;33.650;34.850;36.100;37.300;37.900;37.900;37.900;37.900;37.900;37.900;37.900;37.900;37.900;37.900;37.900;37.900
120;0.000;2.950;5.900;9.200;12.800;16.500;20.800;24.300;26.500;28.800;30.500;30.800;31.800;33.400;33.700;34.000;35.100;36.200;37.300;37.800;37.800;37.800;37.800;37.800;37.800;37.800;37.800;37.800;37.800;37.800;37.800
125;0.000;2.750;5.500;8.650;11.950;15.400;19.200;22.800;25.650;28.500;29.900;30.900;31.950;33.150;33.800;34.500;35.800;37.100;38.400;39.050;39.050;39.050;39.050;39.050;39.050;39.050;39.050;39.050;39.050;39.050;39.050
130;0.000;2.550;5.100;8.100;11.100;14.300;17.600;21.300;24.800;28.100;29.300;30.900;32.100;32.900;33.900;34.900;36.500;38.000;39.500;40.200;40.200;40.200;40.200;40.200;40.200;40.200;40.200;40.200;40.200;40.200;40.200
135;0.000;2.300;4.600;7.450;10.100;13.050;16.000;19.200;22.400;25.600;27.750;29.900;31.450;32.300;33.550;34.750;36.350;37.900;39.500;40.300;40.300;40.300;40.300;40.300;40.300;40.300;40.300;40.300;40.300;40.300;40.300
140;0.000;2.050;4.100;6.800;9.100;11.700;14.400;17.100;20.000;23.000;26.200;28.900;30.700;31.700;33.100;34.600;36.200;37.900;39.500;40.300;40.300;40.300;40.300;40.300;40.300;40.300;40.300;40.300;40.300;40.300;40.300
145;0.000;1.800;3.600;6.050;8.200;10.450;12.800;15.200;17.650;20.250;22.950;25.400;27.350;28.950;30.800;32.700;33.950;35.250;36.500;37.150;37.150;37.150;37.150;37.150;37.150;37.150;37.150;37.150;37.150;37.150;37.150
150;0.000;1.600;3.200;5.200;7.300;9.100;11.200;13.300;15.300;17.500;19.700;21.900;24.100;26.200;28.500;30.800;31.700;32.600;33.500;34.000;34.000;34.000;34.000;34.000;34.000;34.000;34.000;34.000;34.000;34.000;34.000
155;0.000;1.400;2.800;4.600;6.400;8.100;9.850;11.700;13.450;15.300;17.200;19.100;20.950;22.850;24.750;26.700;27.500;28.350;29.150;29.500;29.500;29.500;29.500;29.500;29.500;29.500;29.500;29.500;29.500;29.500;29.500
160;0.000;1.200;2.400;4.000;5.500;7.200;8.600;10.100;11.600;13.200;14.700;16.300;17.900;19.500;21.100;22.700;23.300;24.000;24.700;25.100;25.100;25.100;25.100;25.100;25.100;25.100;25.100;25.100;25.100;25.100;25.100
