twa/tws;0;5;10;15;20;25;27;30;35;40;50;60
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
45;0.00;3.25;10.35;13.13;16.95;18.31;19.32;17.08;14.68;10.77;0.00;0.00
60;0.00;4.67;12.60;16.69;21.89;23.57;24.88;22.39;19.39;14.36;10.06;0.00
75;0.00;6.32;14.63;19.41;25.79;28.83;30.43;27.72;24.16;17.95;13.50;9.50
90;0.00;6.75;16.05;22.31;29.89;33.41;34.75;32.75;27.10;21.74;15.50;13.51
110;0.00;7.00;16.20;25.63;31.58;34.32;36.23;33.80;31.08;25.03;15.75;14.75
120;0.00;6.75;15.75;25.41;30.95;33.52;35.39;33.92;31.84;26.05;16.00;15.00
135;0.00;4.58;14.35;22.78;28.32;29.86;31.52;32.05;31.61;27.90;16.50;15.50
150;0.00;1.67;10.80;17.72;22.00;24.14;25.48;27.72;28.45;26.54;16.00;14.50
180;0.00;0.58;6.68;11.44;14.21;14.76;15.58;17.31;19.42;18.26;15.00;13.00
