TWA\TWS;0;5;10;15;20;25;30;35;40;45;50;55;60
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5;0.00;0.10;0.30;0.40;0.42;0.37;0.27;0.17;0.10;0.04;0.00;0.00;0.00
10;0.00;0.21;0.61;0.81;0.83;0.72;0.55;0.33;0.20;0.08;0.01;0.00;0.00
15;0.00;0.31;0.90;1.20;1.25;1.09;0.82;0.50;0.31;0.12;0.01;0.01;0.00
20;0.00;0.41;1.21;1.61;1.66;1.45;1.10;0.66;0.41;0.15;0.01;0.01;0.00
25;0.00;0.51;1.51;2.01;2.08;1.81;1.37;0.83;0.51;0.20;0.02;0.01;0.00
30;0.00;0.66;1.80;2.40;2.49;2.18;1.66;1.03;0.65;0.28;0.06;0.04;0.01
35;0.00;0.81;2.11;2.81;2.94;2.60;2.03;1.36;0.94;0.52;0.25;0.16;0.03
40;0.00;1.02;2.51;3.30;3.44;3.11;2.57;1.94;1.50;1.06;0.71;0.48;0.10
45;0.00;1.33;3.09;3.90;4.02;3.74;3.34;2.88;2.45;2.02;1.57;1.04;0.21
50;0.00;1.75;3.83;4.59;4.63;4.42;4.21;3.98;3.59;3.20;2.63;1.75;0.35
55;0.00;2.22;4.49;5.15;5.13;4.98;4.92;4.86;4.49;4.13;3.46;2.30;0.46
60;0.00;2.65;4.94;5.48;5.44;5.35;5.35;5.33;4.95;4.56;3.83;2.55;0.51
65;0.00;2.95;5.13;5.63;5.61;5.55;5.54;5.53;5.13;4.74;3.98;2.65;0.53
70;0.00;3.15;5.20;5.70;5.72;5.68;5.67;5.66;5.26;4.85;4.08;2.72;0.54
75;0.00;3.30;5.27;5.78;5.80;5.77;5.76;5.75;5.35;4.96;4.18;2.79;0.56
80;0.00;3.44;5.36;5.84;5.88;5.87;5.87;5.87;5.46;5.06;4.27;2.85;0.57
85;0.00;3.54;5.43;5.90;5.95;5.96;5.98;5.98;5.57;5.16;4.36;2.90;0.58
90;0.00;3.58;5.46;5.94;6.00;6.03;6.06;6.08;5.66;5.24;4.43;2.95;1.18
95;0.00;3.55;5.45;5.96;6.03;6.07;6.11;6.13;5.71;5.30;4.47;2.98;1.31
100;0.00;3.50;5.44;5.98;6.05;6.08;6.13;6.16;5.74;5.32;4.50;3.00;1.44
105;0.00;3.44;5.41;5.99;6.08;6.11;6.15;6.18;5.76;5.35;4.52;3.02;1.57
110;0.00;3.36;5.39;6.00;6.10;6.13;6.17;6.20;5.79;5.38;4.56;3.04;1.70
115;0.00;3.28;5.35;6.00;6.10;6.11;6.16;6.19;5.78;5.38;4.56;3.04;1.83
120;0.00;3.18;5.30;5.99;6.08;6.08;6.13;6.17;5.77;5.37;4.56;3.04;1.96
125;0.00;3.07;5.22;5.98;6.08;6.05;6.11;6.15;5.75;5.35;4.55;3.03;2.15
130;0.00;2.95;5.14;5.97;6.08;6.03;6.08;6.13;5.74;5.34;4.55;3.03;2.18
135;0.00;2.81;5.03;5.93;6.08;6.01;6.06;6.11;5.72;5.33;4.54;3.02;2.21
140;0.00;2.66;4.89;5.88;6.07;5.99;6.04;6.08;5.69;5.30;4.52;3.02;2.24
145;0.00;2.51;4.72;5.81;6.07;5.98;6.02;6.06;5.68;5.29;4.51;3.01;2.27
150;0.00;2.35;4.57;5.74;6.06;5.97;6.00;6.04;5.66;5.28;4.50;3.00;2.30
155;0.00;2.21;4.41;5.65;6.05;5.97;5.98;6.03;5.65;5.26;4.49;2.99;2.33
160;0.00;2.08;4.26;5.57;6.03;5.96;5.97;6.01;5.64;5.26;4.49;2.99;2.36
165;0.00;1.97;4.13;5.48;5.98;5.94;5.95;5.99;5.62;5.26;4.49;2.99;2.39
170;0.00;1.89;4.06;5.40;5.93;5.93;5.94;5.98;5.61;5.25;4.48;2.98;2.38
175;0.00;1.83;4.01;5.33;5.86;5.90;5.93;5.98;5.61;5.24;4.47;2.98;2.38
180;0.00;1.78;3.98;5.26;5.79;5.88;5.92;5.97;5.60;5.23;4.46;2.98;2.38
