TWA\TWS;0;5;10;15;20;25;30;35;40;45;50;55;60
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5;0.00;0.52;1.61;2.12;2.42;2.43;2.06;1.86;1.69;1.56;1.44;1.39;1.33
10;0.00;1.04;3.23;4.24;4.83;4.84;4.09;3.70;3.37;3.14;2.89;2.78;2.65
15;0.00;1.57;4.85;6.36;7.25;7.27;6.15;5.54;5.06;4.70;4.34;4.16;3.98
20;0.00;2.09;6.48;8.48;9.68;9.70;8.18;7.40;6.75;6.26;5.78;5.53;5.30
25;0.00;2.62;8.09;10.61;12.08;12.13;10.24;9.25;8.44;7.83;7.23;6.93;6.63
30;0.00;3.14;9.71;12.73;14.50;14.54;12.29;11.10;10.11;9.39;8.67;8.31;7.95
35;0.00;3.67;11.33;14.85;16.92;16.98;14.33;12.95;11.81;10.97;10.12;9.70;9.28
40;0.00;4.19;12.95;16.97;19.32;19.40;16.24;14.62;13.49;12.53;11.56;11.07;10.60
45;0.00;4.71;14.27;19.09;21.45;21.60;18.08;16.43;15.18;14.10;13.01;12.50;11.93
50;0.00;5.23;15.58;20.80;23.95;24.09;20.14;18.22;16.86;15.67;14.46;14.14;13.31
55;0.00;5.81;16.80;22.44;26.03;26.26;22.10;19.72;18.00;16.95;15.90;15.89;14.92
60;0.00;6.46;17.96;24.09;28.10;28.57;23.99;21.12;19.10;18.03;16.96;16.72;16.04
65;0.00;7.34;19.13;25.41;29.88;30.36;26.10;22.87;20.63;19.32;18.02;17.53;16.79
70;0.00;8.22;20.31;26.72;31.64;32.38;27.97;24.68;22.16;20.62;19.08;18.56;17.49
75;0.00;8.96;21.48;28.04;33.61;34.29;30.24;26.77;23.69;21.92;20.14;19.55;18.16
80;0.00;9.26;22.39;29.31;35.27;36.22;32.32;28.66;25.32;23.27;21.20;20.39;18.73
85;0.00;9.43;22.91;30.80;36.89;38.21;34.39;30.55;26.97;24.61;22.26;21.13;19.43
90;0.00;9.61;23.28;32.12;38.28;39.69;36.20;32.45;28.59;25.96;23.32;22.02;20.14
95;0.00;9.61;23.48;33.37;39.00;40.71;37.07;33.37;29.69;27.03;24.38;23.09;21.20
100;0.00;9.61;23.52;34.44;39.70;41.16;37.69;34.28;30.79;28.12;25.44;24.17;22.26
105;0.00;9.61;23.56;35.28;39.97;41.51;38.31;35.19;35.08;29.20;26.62;25.43;23.65
110;0.00;9.61;23.61;35.81;40.27;41.75;38.92;36.10;33.00;30.27;28.12;27.03;25.42
115;0.00;9.47;23.28;35.59;40.03;41.71;39.00;36.51;33.86;31.77;29.68;28.57;27.07
120;0.00;9.02;22.67;35.14;39.51;41.24;39.07;36.90;34.70;33.25;31.35;29.98;28.33
125;0.00;8.31;21.50;33.80;38.35;40.28;38.80;37.23;35.48;33.99;32.51;30.92;29.33
130;0.00;7.30;20.06;32.47;36.93;39.21;38.54;37.58;36.26;34.74;33.37;31.62;30.03
135;0.00;6.58;18.60;31.13;35.51;38.22;38.27;37.91;36.77;35.17;33.79;32.01;30.74
140;0.00;6.00;17.35;29.12;33.66;37.29;37.26;37.15;36.53;35.01;33.50;31.93;30.36
145;0.00;5.55;16.47;27.30;31.79;36.24;36.27;36.40;36.03;34.56;33.07;31.52;29.98
150;0.00;5.20;15.59;25.62;29.82;34.77;35.28;35.66;35.52;34.08;32.65;31.12;29.60
155;0.00;4.98;14.59;23.95;27.85;33.04;34.28;34.91;35.02;33.62;32.22;30.72;29.21
160;0.00;4.71;13.59;22.28;25.87;30.72;32.17;34.15;34.50;32.85;31.80;30.32;28.83
165;0.00;4.46;12.59;20.62;23.91;27.86;30.02;31.63;31.95;30.69;29.42;28.04;26.66
170;0.00;4.16;11.59;18.94;21.92;25.34;27.63;29.12;29.39;28.21;27.03;25.76;24.49
175;0.00;3.85;10.58;17.28;19.95;23.01;25.24;26.60;26.83;25.74;24.65;23.48;22.31
180;0.00;3.53;9.58;15.60;17.99;20.70;22.84;24.06;24.27;23.27;22.26;21.20;20.14
