TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
5;0.000;0.140;0.280;0.425;0.580;0.730;0.750;0.790;0.840;0.900;0.960;0.980;0.995;1.010;0.990;0.870;0.890;0.870;0.710;0.480;0.250;0.180;0.130;0.009;0.004;0.000;0.000;0.000;0.000;0.000;0.000
10;0.000;0.285;0.570;0.855;1.150;1.470;1.500;1.590;1.680;1.800;1.920;1.955;2.000;2.020;1.940;1.750;1.780;1.720;1.440;0.960;0.500;0.360;0.250;0.160;0.080;0.000;0.000;0.000;0.000;0.000;0.000
15;0.000;0.420;0.830;1.250;1.690;2.150;2.240;2.370;2.510;2.700;2.880;2.760;2.830;2.860;2.660;2.560;2.600;2.510;2.100;1.400;0.750;0.550;0.380;0.250;0.120;0.000;0.000;0.000;0.000;0.000;0.000
20;0.000;0.540;1.080;1.620;2.180;2.780;2.990;3.200;3.380;3.600;3.840;3.795;4.095;3.870;3.510;3.320;3.370;3.260;2.710;1.830;1.000;0.730;0.510;0.330;0.160;0.000;0.000;0.000;0.000;0.000;0.000
25;0.000;0.680;1.350;2.020;2.730;3.470;3.675;4.010;4.250;4.500;4.800;4.660;5.030;4.820;4.420;4.145;4.210;4.070;3.405;2.270;1.240;0.910;0.630;0.410;0.200;0.000;0.000;0.000;0.000;0.000;0.000
30;0.000;0.830;1.670;2.500;3.370;4.295;4.515;4.815;5.120;5.390;5.760;5.635;6.025;5.830;5.445;5.130;5.205;5.040;4.200;2.840;1.480;1.090;0.760;0.490;0.240;0.000;0.000;0.000;0.000;0.000;0.000
35;0.000;1.030;2.040;3.000;4.110;5.150;5.410;5.670;6.050;6.380;6.720;6.555;7.020;6.780;6.530;6.150;6.240;5.020;5.160;3.750;2.190;1.780;1.440;1.030;0.510;0.000;0.000;0.000;0.000;0.000;0.000
40;0.000;1.220;2.430;3.500;4.950;5.970;6.195;6.420;6.920;7.270;7.510;7.360;7.760;7.620;7.500;7.130;7.240;7.010;6.170;4.760;2.990;2.730;2.250;1.790;0.830;0.000;0.000;0.000;0.000;0.000;0.000
45;0.000;1.370;2.750;3.900;5.660;6.900;7.035;7.280;7.740;8.325;8.590;8.395;8.690;8.570;8.590;8.360;8.490;8.220;7.400;6.020;3.870;3.640;3.140;2.560;1.105;0.000;0.000;0.000;0.000;0.000;0.000
50;0.000;1.580;3.160;4.450;6.110;7.420;7.930;8.170;8.720;8.940;9.270;9.490;9.710;9.580;9.680;9.470;9.910;9.340;8.530;7.110;4.920;4.550;3.960;2.965;1.420;0.000;0.000;0.000;0.000;0.000;0.000
55;0.000;1.740;3.480;4.850;6.470;7.725;8.295;8.520;9.100;9.320;9.660;10.005;10.200;10.170;10.345;10.150;10.550;10.090;9.300;7.850;5.430;4.970;4.335;3.220;1.620;0.000;0.000;0.000;0.000;0.000;0.000
60;0.000;1.800;3.610;5.000;6.720;7.930;8.400;8.800;9.265;9.600;9.890;10.350;10.700;10.710;10.770;10.820;11.200;10.750;10.000;8.590;5.940;5.520;4.770;3.580;1.825;0.000;0.000;0.000;0.000;0.000;0.000
65;0.000;1.870;3.740;5.150;6.900;8.140;8.560;9.010;9.480;9.820;10.110;10.695;11.060;11.190;11.250;11.450;11.730;11.380;10.640;9.205;6.590;6.060;5.310;3.990;2.040;0.000;0.000;0.000;0.000;0.000;0.000
70;0.000;1.910;3.810;5.250;6.990;8.240;8.660;9.150;9.650;10.050;10.340;11.040;11.470;11.660;11.620;12.050;12.230;11.900;11.170;9.730;7.030;6.575;5.800;4.345;2.200;0.000;0.000;0.000;0.000;0.000;0.000
75;0.000;1.960;3.920;5.400;6.990;8.240;8.715;9.200;9.700;10.160;10.570;11.270;11.700;11.960;11.980;12.360;12.540;12.280;11.550;10.030;7.640;7.045;6.300;4.700;2.360;0.000;0.000;0.000;0.000;0.000;0.000
80;0.000;1.990;3.980;5.500;6.970;8.240;8.820;9.310;9.810;10.270;10.680;11.385;11.875;12.260;12.460;12.790;12.980;12.690;11.920;10.380;8.150;7.440;6.690;5.000;2.590;0.000;0.000;0.000;0.000;0.000;0.000
85;0.000;1.990;3.980;5.500;6.950;8.240;8.870;9.360;9.860;10.380;10.850;11.500;11.930;12.495;12.890;13.160;13.350;13.040;12.240;10.690;8.600;7.740;6.970;5.340;2.840;0.120;0.080;0.030;0.000;0.000;0.000
90;0.000;1.990;3.970;5.500;6.940;8.240;8.925;9.390;9.860;10.430;11.020;11.615;12.110;12.730;13.190;13.530;13.730;13.400;12.660;11.080;8.950;8.050;7.250;5.670;3.170;0.730;0.510;0.260;0.000;0.000;0.000
95;0.000;1.970;3.900;5.400;6.940;8.240;8.925;9.410;9.920;10.490;11.130;11.670;12.230;12.850;13.490;14.020;14.230;13.870;13.040;11.390;9.340;8.430;7.620;6.010;3.600;1.230;0.910;0.310;0.000;0.000;0.000
100;0.000;1.940;3.890;5.350;6.880;8.190;8.925;9.420;9.920;10.545;11.130;11.730;12.400;13.090;13.855;14.510;14.730;14.350;13.515;11.870;9.640;8.760;7.910;6.400;4.110;1.870;1.210;0.420;0.000;0.000;0.000
105;0.000;1.920;3.830;5.300;6.800;8.140;8.870;9.360;9.860;10.660;11.300;11.900;12.640;13.390;14.160;14.880;15.100;14.730;13.890;12.220;9.890;8.955;8.120;6.700;4.640;2.540;1.580;0.540;0.000;0.000;0.000
110;0.000;1.890;3.790;5.250;6.770;8.090;8.870;9.360;9.860;10.820;11.530;12.130;12.870;13.685;14.640;15.250;15.480;15.090;14.210;12.500;10.150;9.220;8.380;7.050;5.170;3.230;2.010;0.690;0.000;0.000;0.000
115;0.000;1.870;3.740;5.200;6.700;8.030;8.870;9.360;9.860;11.100;11.700;12.480;13.220;14.040;15.000;15.680;15.910;15.460;14.580;12.850;10.460;9.530;8.690;7.450;5.750;3.960;2.460;0.840;0.000;0.000;0.000
120;0.000;1.840;3.680;5.150;6.660;7.980;8.870;9.360;9.860;11.380;11.980;12.880;13.630;14.460;15.490;16.240;16.480;15.610;14.740;13.005;10.830;9.920;9.090;7.940;6.400;4.740;2.950;1.040;0.000;0.000;0.000
125;0.000;1.800;3.610;5.050;6.520;7.830;8.715;9.260;9.860;11.490;12.150;13.170;14.160;14.990;16.030;16.850;17.100;15.460;14.690;13.000;11.160;10.250;9.420;8.360;7.010;5.510;3.420;1.560;0.000;0.000;0.000
130;0.000;1.730;3.460;4.850;6.330;7.620;8.610;9.095;9.760;11.380;12.090;13.340;14.390;15.410;16.335;17.280;17.540;15.460;14.580;12.960;11.270;10.400;9.540;8.650;7.500;6.180;4.260;2.200;1.000;0.850;0.000
135;0.000;1.510;3.020;4.250;6.060;7.310;8.295;8.770;9.480;11.100;11.750;13.400;14.390;15.590;16.395;17.340;17.600;15.350;14.370;12.850;11.070;10.250;9.480;8.670;7.740;6.640;5.220;3.680;2.580;2.180;0.000
140;0.000;1.330;2.660;3.750;5.710;6.900;7.980;8.450;9.160;10.820;11.530;13.170;14.215;15.470;16.090;17.100;17.350;15.110;14.050;12.500;10.500;9.870;9.180;8.510;7.800;6.900;5.850;4.600;3.590;3.040;0.000
145;0.000;1.160;2.320;3.300;5.070;6.180;7.665;8.130;8.720;10.546;11.300;12.820;13.860;15.230;15.670;16.550;16.730;14.930;13.730;12.100;10.180;9.490;8.880;8.350;7.605;6.940;6.070;5.100;4.170;3.400;0.000
150;0.000;1.000;1.995;2.850;4.600;5.665;7.350;7.840;8.340;10.160;10.960;12.305;13.400;14.875;15.250;16.110;16.350;14.760;13.300;11.800;9.840;8.540;8.050;7.650;7.310;6.690;6.050;5.200;4.335;3.600;0.000
155;0.000;0.830;1.660;2.400;4.000;4.940;6.300;6.955;7.630;9.435;10.170;11.845;12.990;14.400;14.880;15.620;15.850;14.400;12.930;11.320;9.170;7.450;7.090;6.790;6.530;6.090;5.540;4.910;4.120;3.350;0.000
160;0.000;0.660;1.330;1.950;3.280;4.020;5.040;5.670;6.540;8.710;9.490;10.810;11.875;13.210;13.430;14.145;14.350;13.430;11.920;10.700;8.120;6.360;6.180;5.980;5.750;5.370;4.870;4.300;3.590;3.000;0.000
165;0.000;0.510;1.010;1.510;2.430;3.090;3.465;3.960;4.580;7.770;8.475;9.430;10.060;11.660;11.800;12.550;12.730;11.920;10.540;9.420;6.760;5.230;5.250;5.150;4.950;4.630;4.130;3.560;2.940;2.480;0.000
170;0.000;0.420;0.830;1.250;1.780;2.270;2.730;3.100;3.490;6.660;7.345;7.935;8.540;9.520;9.680;10.090;10.240;9.750;8.830;7.290;5.740;4.580;4.335;4.350;4.270;4.080;3.500;2.860;2.270;1.920;0.000
175;0.000;0.350;0.700;1.050;1.370;1.750;2.100;2.410;2.725;5.550;6.215;6.440;7.140;7.735;7.865;8.240;8.360;7.910;7.290;6.250;4.820;3.940;3.520;3.580;3.730;3.520;2.860;2.150;1.590;1.350;0.000
