TWA\TWS;0;4;6;8;10;12;14;16;20;25;30;35;40;45;50;55;60
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
32;0.000;3.080;4.590;5.760;6.585;6.920;7.152;7.320;7.560;7.730;7.790;7.794;7.015;5.612;4.300;2.752;0.000
36;0.000;3.500;5.140;6.310;6.935;7.283;7.520;7.690;7.927;8.105;8.180;8.200;7.380;5.904;4.600;2.944;0.000
40;0.000;3.855;5.600;6.686;7.270;7.630;7.840;8.010;8.240;8.430;8.550;8.590;7.800;6.300;5.000;3.100;0.000
45;0.000;4.270;6.066;7.100;7.650;7.950;8.150;8.320;8.580;8.780;8.930;9.000;8.100;6.480;5.450;3.400;0.000
52;0.000;4.803;6.600;7.540;8.020;8.300;8.500;8.690;9.020;9.290;9.470;9.590;8.631;6.905;5.700;3.648;0.000
60;0.000;5.190;6.980;7.880;8.340;8.640;8.910;9.130;9.480;9.830;10.110;10.320;9.288;7.430;5.944;3.804;0.000
70;0.000;5.510;7.270;8.120;8.700;9.050;9.340;9.590;10.060;10.600;11.080;11.480;10.332;8.266;6.612;4.232;0.000
80;0.000;5.630;7.390;8.300;8.920;9.390;9.720;10.060;10.710;11.540;12.280;12.850;11.565;9.252;7.402;4.737;0.000
90;0.000;5.710;7.590;8.440;9.020;9.590;10.110;10.540;11.450;12.560;13.720;14.530;13.077;10.462;8.369;5.356;0.000
100;0.000;5.850;7.730;8.630;9.190;9.660;10.260;11.010;12.210;13.760;14.880;15.740;14.166;11.333;9.066;5.802;0.000
110;0.000;5.800;7.700;8.610;9.380;9.930;10.510;11.130;12.870;14.650;15.860;16.910;15.219;12.175;9.740;6.234;0.000
120;0.000;5.520;7.410;8.520;9.310;10.120;10.790;11.610;13.120;15.340;16.750;17.990;16.191;12.953;10.362;6.632;0.000
130;0.000;4.940;6.945;8.140;9.080;9.920;10.790;11.960;13.880;15.710;17.310;18.910;17.019;13.615;10.892;6.971;0.000
140;0.000;4.171;6.000;7.463;8.450;9.350;10.300;11.653;14.320;16.330;18.180;19.890;17.901;14.321;11.457;7.332;0.000
150;0.000;3.390;5.090;6.578;7.640;8.589;9.440;10.500;12.840;16.265;19.100;20.990;18.891;15.113;12.090;7.500;0.000
160;0.000;2.820;4.260;5.620;6.830;7.817;8.600;9.420;11.360;14.839;17.742;21.170;19.053;15.242;12.194;7.600;0.000
170;0.000;2.520;3.800;5.060;6.240;7.270;8.150;8.940;10.620;13.540;16.690;19.960;18.100;14.500;11.700;7.488;0.000
180;0.000;2.430;3.660;4.890;6.040;7.080;7.980;8.750;10.360;13.080;16.170;19.310;17.379;13.903;11.123;7.118;0.000
